2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14551 - "GET /api/v1/history?page=1&limit=10&stock_code=MARKET&report_type=market_review HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14132 - "GET /api/v1/history/stocks?start_date=2026-04-06&end_date=2026-07-05 HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:2347 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:1760 - "GET /api/v1/stocks/watchlist HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14132 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14551 - "GET /api/v1/history/10 HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14132 - "GET /api/v1/history/10/diagnostics HTTP/1.1" 200
2026-07-05 08:00:13 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:14551 - "GET /api/v1/history/10/news?limit=8 HTTP/1.1" 200
2026-07-05 08:00:22 | INFO     | src.services.task_queue | src\services\task_queue.py:455 | [TaskQueue] 任务已提交: 603259.SH -> d236c6bfc714410bbe8c51f9c0782c55
2026-07-05 08:00:22 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:8264 - "POST /api/v1/analysis/analyze HTTP/1.1" 202
2026-07-05 08:00:22 | INFO     | data_provider.base | data_provider\base.py:1232 | 已初始化 6 个数据源（按优先级）: EfinanceFetcher(P0), TencentFetcher(P0), AkshareFetcher(P1), PytdxFetcher(P2), BaostockFetcher(P3), YfinanceFetcher(P4)
2026-07-05 08:00:22 | INFO     | src.analyzer | src\analyzer.py:2548 | Analyzer LLM: litellm initialized (model=deepseek/deepseek-v4-flash)
2026-07-05 08:00:22 | WARNING  | src.notification | src\notification.py:259 | 未配置有效的通知渠道，将不发送推送通知
2026-07-05 08:00:22 | INFO     | src.search_service | src\search_service.py:2337 | 已配置 SearXNG 搜索，共 1 个自建实例
2026-07-05 08:00:22 | INFO     | src.search_service | src\search_service.py:2355 | 新闻时效策略已启用: profile=short, profile_days=3, NEWS_MAX_AGE_DAYS=3, effective_window=3
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:248 | 调度器初始化完成，最大并发数: 3
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:249 | 已启用技术分析引擎（均线/趋势/量价指标）
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:252 | 实时行情已启用 (优先级: tencent,akshare_sina,efinance,akshare_em)
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:256 | 筹码分布分析已启用
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:262 | 搜索服务已启用
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:2781 | ========== 开始处理 603259.SH ==========
2026-07-05 08:00:22 | INFO     | src.core.pipeline | src\core\pipeline.py:337 | 药明康德(603259.SH) 2026-07-03 数据已存在，跳过获取（断点续传）
